src_ip,dst_ip,protocol,length,src_port,dst_port,timestamp
10.167.121.2,10.167.121.208,6,60,58,56481,1711807970.560382
10.167.121.2,10.167.121.208,6,60,56,56479,1711807970.560382
10.167.121.2,10.167.121.208,6,60,52,56475,1711807970.560382
10.167.121.2,10.167.121.208,6,60,44,56467,1711807970.560382
10.167.121.2,10.167.121.208,6,60,46,56469,1711807970.560382
10.167.121.2,10.167.121.208,6,60,49,56472,1711807970.560382
10.167.121.2,10.167.121.208,6,60,42,56464,1711807970.560382
10.167.121.2,10.167.121.208,6,60,53,56476,1711807970.560382
10.167.121.2,10.167.121.208,6,60,50,56473,1711807970.560382
10.167.121.2,10.167.121.208,6,60,45,56468,1711807970.560382
10.167.121.2,10.167.121.208,6,60,60,56483,1711807970.560382
10.167.121.2,10.167.121.208,6,60,41,56465,1711807970.560382
10.167.121.2,10.167.121.208,6,60,43,56466,1711807970.560382
10.167.121.2,10.167.121.208,6,60,47,56470,1711807970.560382
10.167.121.2,10.167.121.208,6,60,51,56474,1711807970.560382
10.167.121.2,10.167.121.208,6,60,55,56478,1711807970.560382
10.167.127.254,10.167.121.127,2048,56,0,0,1711807970.591269
10.167.127.254,10.167.127.108,2048,56,0,0,1711807970.591374
10.167.127.254,10.167.127.241,2048,56,0,0,1711807970.69306
10.167.121.0,224.0.0.251,17,103,5353,5353,1711807970.693089
10.167.121.0,224.0.0.251,17,103,5353,5353,1711807970.796066
10.167.121.208,10.167.121.1,2048,42,0,0,1711807970.862179
10.167.127.248,10.167.121.208,2048,60,0,0,1711807970.908092
10.167.121.111,10.167.121.208,2048,60,0,0,1711807970.935351
10.167.122.136,10.167.121.208,2048,56,0,0,1711807970.945006
10.167.121.208,10.167.121.2,6,66,56484,61,1711807970.949123
10.167.121.208,10.167.121.2,6,66,56485,62,1711807970.949984
10.167.121.208,10.167.121.2,6,66,56486,63,1711807970.950088
10.167.121.208,10.167.121.2,6,66,56487,64,1711807970.950201
10.167.121.208,10.167.121.2,6,66,56488,65,1711807970.952834
10.167.121.208,10.167.121.2,6,66,56489,66,1711807970.952924
10.167.121.208,10.167.121.2,6,66,56490,67,1711807970.956745
10.167.121.208,10.167.121.2,6,66,56491,68,1711807970.956946
10.167.121.208,10.167.121.2,6,66,56492,69,1711807970.957748
10.167.121.208,10.167.121.2,6,66,56493,70,1711807970.957822
10.167.121.2,10.167.121.208,6,60,63,56486,1711807970.960673
10.167.121.2,10.167.121.208,6,60,62,56485,1711807970.960673
10.167.121.2,10.167.121.208,6,60,64,56487,1711807970.960673
10.167.121.2,10.167.121.208,6,60,61,56484,1711807970.960673
10.167.121.2,10.167.121.208,6,60,66,56489,1711807970.962161
10.167.121.2,10.167.121.208,6,60,65,56488,1711807970.962161
